label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.01128758,0.22105705,0.01132630,0.22105772,443213.99451816,97500.00000000,345713.99451816,3.54578456,0.18214392,0.17067117,0.85305189,0.22709081,1.18274561,0.69991357,-0.26023773,366,2017,0.65329828,2015,-0.09897028,8504499.05552884,3193.25672752,1.77507287,0.03275135,,,0.53858995,0.19828130,,,0.46113394,0.05222018
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.01165617,0.21958574,0.01155306,0.21958708,487909.92183177,97500.00000000,390409.92183177,4.00420433,0.19171825,0.18090379,0.89142159,0.22616175,1.23454845,0.80048617,-0.23950226,472,2017,0.66519117,2022,-0.12074742,8958866.46813353,2726.95839151,1.78972154,0.02796880,0.13408488,0.04722348,0.40386937,0.14913479,,,0.46126432,0.05369081
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.01156402,0.21800262,0.01147129,0.21800476,533254.89976463,97500.00000000,435754.89976463,4.46928102,0.20062884,0.19034641,0.91792342,0.22831580,1.26952255,0.82081204,-0.24442726,477,2017,0.67706120,2022,-0.15239078,9373398.97769824,2207.92598163,1.79888179,0.02264539,0.26871092,0.09744184,0.26917241,0.09940466,,,0.46136644,0.05527313
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.01151458,0.21632331,0.01141050,0.21632504,578951.28602017,97500.00000000,481451.28602017,4.93796191,0.20893126,0.19906718,0.93243713,0.23346430,1.28774401,0.82171723,-0.25426175,708,2017,0.68891555,2022,-0.18401773,9734630.55770234,1633.38503682,1.80056470,0.01675267,0.40323883,0.14441692,0.13449228,0.04910866,,,0.46146920,0.05695285
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.01125506,0.21450569,0.01124435,0.21450574,624274.02982451,97500.00000000,526774.02982451,5.40281056,0.21658975,0.20705144,0.93592651,0.24138966,1.29123558,0.79914190,-0.27102790,708,2017,0.70077067,2022,-0.21563704,10043770.00029945,1003.46807483,1.79680964,0.01029198,0.53776812,0.19707887,,,,,0.46158084,0.05877216
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,,,0.99834187,0.99112465,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.01276234,0.16643154,0.01280423,0.16643223,224837.57956189,75500.00000000,149337.57956189,1.97798119,0.18200195,0.16577242,0.82558557,0.23695999,1.14401821,0.69936805,-0.26023773,366,2017,0.65329828,2015,-0.09897028,3946081.65506827,1483.36044765,1.74752776,0.01964716,,,0.52394773,0.19828130,,,0.47573440,0.06096166
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.01327820,0.16537602,0.01314654,0.16537696,230159.54307843,75500.00000000,154659.54307843,2.04847077,0.18653317,0.16920990,0.84864226,0.23430148,1.17379145,0.77883680,-0.23950226,472,2017,0.66519117,2022,-0.12074506,4095405.31782365,1248.82562004,1.76367486,0.01654074,0.13028049,0.04722348,0.39288814,0.14913479,,,0.47585450,0.06201693
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.01319127,0.16422366,0.01307402,0.16422532,234419.72573117,75500.00000000,158919.72573117,2.10489703,0.19039530,0.17190339,0.86253126,0.23431472,1.18998733,0.77894461,-0.24442726,477,2017,0.67706120,2022,-0.15238713,4225165.79155957,999.22277171,1.77276273,0.01323474,0.26127077,0.09744184,0.26185057,0.09940466,,,0.47594723,0.06316857
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.01316943,0.16299505,0.01304140,0.16299641,237741.27654712,75500.00000000,162241.27654712,2.14889108,0.19368911,0.17396891,0.86718693,0.23698937,1.19305973,0.76177054,-0.25426175,708,2017,0.68891555,2022,-0.18401490,4321383.10364963,729.02827180,1.76921001,0.00965600,0.39213997,0.14441692,0.13081331,0.04910866,,,0.47604281,0.06439747
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.01287401,0.16164628,0.01286814,0.16164633,240015.46963778,75500.00000000,164515.46963778,2.17901284,0.19636845,0.17536619,0.86301495,0.24220305,1.18439496,0.72453222,-0.27102790,708,2017,0.70077067,2022,-0.21563697,4395349.23189238,438.71698002,1.75892225,0.00581082,0.52303720,0.19707887,,,,,0.47614757,0.06574756
SPY benchmark,fit,fit,2012-01-03,2022-12-30,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00181713,0.00887397,0.00181778,0.00887535,155037.99589010,75500.00000000,79537.99589010,1.05348339,0.12272174,0.11077065,0.76728635,0.16992121,1.07071696,0.36376365,-0.33736669,173,2013,0.31819168,2022,-0.18365528,75481.94120423,5.28373588,0.04442562,0.00006998,,,,,0.99818222,0.99112465,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2023-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.00969314,0.29805569,0.00949111,0.29835514,45388.06375426,31500.00000000,13888.06375426,0.44089091,0.17122563,0.15735096,0.91455391,0.19460348,1.26994359,0.97497570,-0.17562041,,2023,0.28797348,2026,0.01225147,378628.07931385,144.64250017,1.87880550,0.00459183,,,0.58361583,0.19982163,,,0.41535112,0.00000000
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2023-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.01080516,0.29812408,0.01016043,0.29835514,48147.92671062,31500.00000000,16647.92671062,0.52850561,0.19733764,0.18378583,1.00722106,0.19973802,1.40183700,1.14552318,-0.17226857,,2023,0.33042421,2026,0.03691867,391137.31553467,120.92774664,1.88270286,0.00383898,0.14440546,0.04757559,0.43759898,0.14983965,,,0.41562750,0.00000000
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2023-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.01085394,0.29819305,0.01007856,0.29835514,50994.48512002,31500.00000000,19494.48512002,0.61887254,0.22304516,0.20980125,1.07371363,0.20905770,1.49909746,1.29008511,-0.17289182,398,2023,0.37229015,2026,0.06136494,403845.41751206,96.18247581,1.88680944,0.00305341,0.29045005,0.09846281,0.29149482,0.09973857,,,0.41555220,0.00000000
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2023-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.01102591,0.29826202,0.01027334,0.29835514,53933.27972576,31500.00000000,22433.27972576,0.71216761,0.24844975,0.23546436,1.11576907,0.22228323,1.56207030,1.30078111,-0.19100043,235,2023,0.41452019,2026,0.08544910,416618.33968765,70.01904125,1.89011390,0.00222283,0.43585393,0.14799005,0.14556652,0.04961763,,,0.41574437,0.00000000
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2023-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.01074608,0.29833020,0.01027431,0.29835514,56922.91835116,31500.00000000,25422.91835116,0.80707677,0.27319717,0.26044899,1.13809763,0.23858790,1.59685174,1.28489043,-0.21262293,224,2023,0.45607425,2026,0.10900094,428825.94907056,42.29365576,1.89073545,0.00134266,0.58171159,0.19847138,,,,,0.41578711,0.00000000
SPY benchmark,test,test,2023-01-03,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01118127,0.02889993,0.01118276,0.02890110,51462.51865568,31500.00000000,19962.51865568,0.63373075,0.22151929,0.21396638,1.42521974,0.14894780,2.14327329,1.18927495,-0.18626415,127,2023,0.26134206,2026,0.12377263,31218.24766906,2.18527734,0.14948196,0.00006937,,,,,0.98881724,0.97109890,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-01-03,2012-01-03,2015-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.00349777,0.11098359,0.00356537,0.11099218,47215.17879898,28000.00000000,19215.17879898,0.68625639,0.29155685,0.27749561,1.21001487,0.23475082,1.74552265,1.90799962,-0.15280760,227,2013,0.53374188,2015,-0.02468944,473809.42934808,178.78977579,2.91719649,0.00638535,,,0.42404202,0.19828130,,,0.57535820,0.23749454
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-01-03,2012-01-03,2015-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.00505761,0.11138971,0.00473043,0.11139633,48281.30728242,28000.00000000,20281.30728242,0.72433240,0.30530058,0.29023690,1.24794549,0.23644343,1.80247823,1.98702005,-0.15364746,224,2013,0.56759276,2015,-0.01954608,483737.21200146,148.50439158,2.92681632,0.00530373,0.10437763,0.04722348,0.31801803,0.14913479,,,0.57536827,0.23749647
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-01-03,2012-01-03,2015-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.00491806,0.11180744,0.00465267,0.11181220,49357.51195238,28000.00000000,21357.51195238,0.76276828,0.31889349,0.30289375,1.28038366,0.23905504,1.85107585,2.03923003,-0.15637936,223,2013,0.60189297,2015,-0.01438483,494075.22790767,117.14072547,2.93840427,0.00418360,0.21070362,0.09744184,0.21197284,0.09940466,,,0.57535470,0.23748606
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-01-03,2012-01-03,2015-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.00520599,0.11221956,0.00493706,0.11222248,50449.59380667,28000.00000000,22449.59380667,0.80177121,0.33240645,0.31553508,1.30743447,0.24258015,1.89126025,2.08393099,-0.15950934,225,2013,0.63682514,2015,-0.00923416,503853.31600496,84.70310965,2.94585480,0.00302511,0.31657376,0.14441692,0.10581311,0.04910866,,,0.57534249,0.23749218
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-01-03,2012-01-03,2015-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.00481896,0.11260035,0.00482491,0.11260098,51546.18669423,28000.00000000,23546.18669423,0.84093524,0.34570581,0.32803145,1.32892974,0.24696154,1.92295782,2.11926133,-0.16312562,223,2013,0.67205001,2015,-0.00408083,514164.08198948,51.15756166,2.95621542,0.00182706,0.42277539,0.19707887,,,,,0.57533186,0.23748603
SPY benchmark,sens,sens_2012-01-03,2012-01-03,2015-01-02,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00279958,0.00887397,0.00280132,0.00887535,40319.02047745,28000.00000000,12319.02047745,0.43996502,0.19234501,0.18958290,1.57435116,0.11629244,2.32535729,1.99323290,-0.09649901,136,2013,0.31819168,2015,-0.00053252,27849.42550453,1.94945979,0.19381535,0.00006962,,,,,0.99719868,0.99112465,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-07-03,2012-07-03,2015-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.00370005,0.11706733,0.00375876,0.11707986,39394.73277030,28000.00000000,11394.73277030,0.40695474,0.17928848,0.17729667,0.81536903,0.23745838,1.13868916,1.17200771,-0.15297551,227,2013,0.53376391,2012,-0.03997103,409824.23482946,154.96442252,2.76577842,0.00553444,,,0.43302195,0.19871410,,,0.56631704,0.28609864
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-07-03,2012-07-03,2015-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.00542678,0.11739508,0.00507956,0.11740527,40359.41866158,28000.00000000,12359.41866158,0.44140781,0.19410830,0.19046632,0.86871046,0.23724120,1.21456669,1.26977816,-0.15286788,224,2013,0.56756183,2012,-0.03050631,419645.91277303,128.92752554,2.77634157,0.00460455,0.10647763,0.04620949,0.32479775,0.14883760,,,0.56632210,0.28609864
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-07-03,2012-07-03,2015-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.00499964,0.11773535,0.00469487,0.11774255,41342.25025228,28000.00000000,13342.25025228,0.47650894,0.20892808,0.20364860,0.91847507,0.23807755,1.28571277,1.34257348,-0.15561761,223,2013,0.60187742,2012,-0.02104695,429339.99636363,101.77921655,2.78471326,0.00363497,0.21522728,0.09667455,0.21642761,0.09908405,,,0.56630991,0.28609864
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-07-03,2012-07-03,2015-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.00535622,0.11807445,0.00492217,0.11807885,42348.97138729,28000.00000000,14348.97138729,0.51246326,0.22384671,0.21691579,0.96438490,0.23997510,1.35157983,1.40941921,-0.15882195,225,2013,0.63685778,2012,-0.01146478,438947.21736773,73.69151560,2.79086027,0.00263184,0.32342064,0.14556832,0.10794884,0.04928012,,,0.56630469,0.28609864
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2012-07-03,2012-07-03,2015-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.00476239,0.11839090,0.00476219,0.11839185,43368.50710753,28000.00000000,15368.50710753,0.54887525,0.23865728,0.23011921,1.00546103,0.24287154,1.41060347,1.46916510,-0.16244416,223,2013,0.67206253,2012,-0.00199982,448456.69478054,44.59947851,2.79567004,0.00159284,0.43199672,0.19669753,,,,,0.56629313,0.28609864
SPY benchmark,sens,sens_2012-07-03,2012-07-03,2015-07-02,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00308075,0.00970890,0.00308250,0.00971039,37824.75232898,28000.00000000,9824.75232898,0.35088401,0.16665491,0.15534808,1.41041590,0.11420030,2.07152137,2.25956784,-0.07375521,110,2013,0.31798024,2015,0.01654296,27836.34757655,1.94854433,0.19490921,0.00006959,,,,,0.99691750,0.99028961,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2013-01-03,2013-01-03,2015-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.00342147,0.10719850,0.00348053,0.10720289,35194.76490267,27500.00000000,7694.76490267,0.27980963,0.16652232,0.12465725,0.73548445,0.25295702,1.01456733,0.76411136,-0.21792938,,2013,0.52187976,2015,-0.09902215,413683.23458527,156.38804351,2.70010968,0.00568684,,,0.43901592,0.19897732,,,0.56044553,0.15151204
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2013-01-03,2013-01-03,2015-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.00521031,0.10597813,0.00482165,0.10597986,35537.53428527,27500.00000000,8037.53428527,0.29227397,0.17318021,0.12972428,0.75940743,0.25226135,1.04570887,0.79051406,-0.21907291,,2013,0.54783452,2015,-0.09550614,419174.97926357,128.76350629,2.70543847,0.00468231,0.10798057,0.04371347,0.32916728,0.14839671,,,0.56049579,0.15273507
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2013-01-03,2013-01-03,2015-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.00520134,0.10471142,0.00483160,0.10471212,35867.86854771,27500.00000000,8367.86854771,0.30428613,0.17964774,0.13457392,0.78033130,0.25269329,1.07280306,0.81514446,-0.22038761,,2013,0.57414389,2015,-0.09237065,425531.70794125,100.74254575,2.71610857,0.00366337,0.21779012,0.09446895,0.21931158,0.09946823,,,0.56052888,0.15400282
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2013-01-03,2013-01-03,2015-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.00507191,0.10340613,0.00468149,0.10340733,36187.32941249,27500.00000000,8687.32941249,0.31590289,0.18594300,0.13923310,0.79808485,0.25424556,1.09580186,0.83680576,-0.22220569,,2013,0.60077621,2015,-0.08962642,430138.14723850,72.24712937,2.71540006,0.00262717,0.32772371,0.14496406,0.10940458,0.04913608,,,0.56056990,0.15530761
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2013-01-03,2013-01-03,2015-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.00484358,0.10209571,0.00484164,0.10209610,36491.11711320,27500.00000000,8991.11711320,0.32694971,0.19198910,0.14363602,0.81235916,0.25687774,1.11424239,0.84970037,-0.22594918,,2013,0.62746921,2015,-0.08726264,435941.00918271,43.34279965,2.72239603,0.00157610,0.43735916,0.19520078,,,,,0.56060444,0.15661884
SPY benchmark,sens,sens_2013-01-03,2013-01-03,2015-12-31,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00351682,0.00832314,0.00351860,0.00832416,34438.61094402,27500.00000000,6938.61094402,0.25231313,0.13732313,0.11335077,1.08082536,0.12638366,1.53524780,1.15536878,-0.11885654,,2013,0.28753949,2015,0.00897700,27452.33261979,1.92166328,0.19728331,0.00006988,,,,,0.99648140,0.99167584,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2013-07-03,2013-07-03,2016-07-01,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.00739456,0.14971707,0.00742998,0.14972206,32689.76824381,28000.00000000,4689.76824381,0.16749172,0.13512409,0.07851391,0.64241582,0.24359764,0.88610266,0.62007201,-0.21791677,,2013,0.43077803,2015,-0.09935326,364767.17322463,137.06047066,2.51634856,0.00489502,,,0.47286968,0.19866276,,,0.52657971,0.15104262
